시도명,년도,온실가스배출량,온실가스흡수량,온실가스중립도
강원도,2015,37278744,13037930.91,34.97416894
강원도,2016,38363320,13038311.56,33.98640045
강원도,2017,45091192,13035199.4,28.90852697
강원도,2018,50173656,13028515.42,25.96684488
강원도,2019,49424508,13025874.4,26.35509169
강원도,2020,44206196,12880986.24,29.13841816
경기도,2015,50429620,5001759.953,9.918297923
경기도,2016,51895912,5007763.856,9.6496307
경기도,2017,55360544,5013886.785,9.056787421
경기도,2018,64463808,5018165.913,7.784470184
경기도,2019,61854824,5025888.251,8.125297149
경기도,2020,62896148,4858702.54,7.724960422
경상남도,2015,56340424,6257553.406,11.10668497
경상남도,2016,56962720,6257218.852,10.98476135
경상남도,2017,54320296,6257076.016,11.51885479
경상남도,2018,52461484,6256495.477,11.92588352
경상남도,2019,47656268,6257274.508,13.13001368
경상남도,2020,35581388,6146212.453,17.27367255
경상북도,2015,52627008,12209423.49,23.19991949
경상북도,2016,52695752,12210753.33,23.17217777
경상북도,2017,52311696,12210696.82,23.34219257
경상북도,2018,54228080,12211796.37,22.51932277
경상북도,2019,54013528,12208456.43,22.60259028
경상북도,2020,50697916,12054970.84,23.77804018
광주광역시,2015,2344748,192500.2471,8.209848012
광주광역시,2016,2339457,192681.0088,8.236142352
광주광역시,2017,2516153,192791.0332,7.662134743
광주광역시,2018,1879961,192638.709,10.24695241
광주광역시,2019,1557749,193225.6895,12.40416071
광주광역시,2020,1443049,189733.0205,13.148065
대구광역시,2015,4835724,470936.2644,9.73869196
대구광역시,2016,4996989,470727.5437,9.420223733
대구광역시,2017,4785544,470952.575,9.841150242
대구광역시,2018,4876083,471047.1042,9.660358617
대구광역시,2019,4003434,467483.7968,11.67707015
대구광역시,2020,3697602,463166.0431,12.52611945
대전광역시,2015,4278001,315926.5215,7.384909949
대전광역시,2016,4522658,316249.793,6.992564836
대전광역시,2017,4428632,314436.5273,7.100082539
대전광역시,2018,4437745,312742.8711,7.04733758
대전광역시,2019,4065470,312920.5879,7.697033501
대전광역시,2020,3867799,308284.3516,7.970537031
부산광역시,2015,7208087,363631.5405,5.044771803
부산광역시,2016,7750073,362813.0957,4.681415203
부산광역시,2017,7239949,359095.0601,4.959911459
부산광역시,2018,7937452,353396.2986,4.452263756
부산광역시,2019,6747556,350613.7234,5.196158778
부산광역시,2020,6787007,349539.113,5.150121593
서울특별시,2015,11910136,226345.6412,1.90044548
서울특별시,2016,11666371,226611.5308,1.942433777
서울특별시,2017,11732206,226663.3861,1.931975846
서울특별시,2018,11938224,227005.1851,1.901498791
서울특별시,2019,11366609,227004.4531,1.997116758
서울특별시,2020,12324706,227651.6783,1.847116502
세종특별자치시,2015,1896539,251025.5156,13.23597963
세종특별자치시,2016,1902740,250289.1719,13.15414465
세종특별자치시,2017,1957585,251916.6563,12.86874676
세종특별자치시,2018,2268010,251810.0469,11.1026868
세종특별자치시,2019,1828396,251810.0469,13.77218321
세종특별자치시,2020,2245895,241853.2031,10.7686781
울산광역시,2015,44471908,634570.0947,1.426900988
울산광역시,2016,46948844,634992.9004,1.352520842
울산광역시,2017,45289656,626898.2207,1.384197356
울산광역시,2018,49685488,626872.5986,1.261681477
울산광역시,2019,48437284,626935.8086,1.294324861
울산광역시,2020,47203696,623523.2246,1.320920346
인천광역시,2015,52555004,367435.7356,0.699145101
인천광역시,2016,51358092,7139197.5,13.90082307
인천광역시,2017,50108308,379950.4193,0.75825833
인천광역시,2018,51185816,381913.8666,0.746132223
인천광역시,2019,48301096,380090.8816,0.786919787
인천광역시,2020,45126832,369045.5132,0.817796191
전라남도,2015,93852104,6111749.617,6.512107195
전라남도,2016,94519752,6109615.639,6.463850687
전라남도,2017,98111280,6110482.125,6.228113755
전라남도,2018,97948696,6114391.871,6.242443361
전라남도,2019,98094880,6115046.331,6.233807851
전라남도,2020,93199096,6004138.496,6.442271174
전라북도,2015,14049081,4123963.047,29.35397018
전라북도,2016,14927595,4121845.469,27.61225414
전라북도,2017,16063178,4120133.047,25.64955108
전라북도,2018,15671547,4122137.977,26.30332523
전라북도,2019,14931263,4121763.617,27.60492275
전라북도,2020,13578538,4094161.438,30.15171028
제주특별자치도,2015,1676939,642215.5313,38.29689281
제주특별자치도,2016,1549902,642215.5,41.43587788
제주특별자치도,2017,1630268,642215.5,39.393247
제주특별자치도,2018,1909010,642213.9375,33.64120342
제주특별자치도,2019,1798861,642213.9375,35.70114297
제주특별자치도,2020,1584366,632021.25,39.89111417
충청남도,2015,138932272,3662538.184,2.636204052
충청남도,2016,139577568,3662809.336,2.624210601
충청남도,2017,159731216,3657550.844,2.289815939
충청남도,2018,157622112,3656480.203,2.319776177
충청남도,2019,151149808,3655553.801,2.418497151
충청남도,2020,141911600,3563483.824,2.511058873
충청북도,2015,21770612,4525101.02,20.78536432
충청북도,2016,22920392,4526501.961,19.74879819
충청북도,2017,22886448,4526529.965,19.77821095
충청북도,2018,22010132,4525407.809,20.56056642
충청북도,2019,21767024,4525264.777,20.78954283
충청북도,2020,21256076,4482269.32,21.0870027
